-0.359346	31267	-4.955432	68698	-0.359346	22127	-3.861769	50786
0.221498	35396	2.757860	38972	0.221498	25080	2.361587	37259
0.252914	27693	5.179040	45573	0.252914	19492	5.179040	32111
0.186178	31610	-3.132471	150916	0.176980	14393	-3.115268	26177
0.289296	31551	3.536643	13317	0.289296	22287	3.037714	8861
-0.250008	39559	-4.922086	160889	-0.247031	5913	-4.922086	98064
0.192913	160756	3.519520	174911	0.171809	81665	3.044575	105163
0.176112	28042	3.424075	158165	0.174780	2324	2.752474	96675
0.328771	35460	4.839026	25072	0.328771	25109	4.839026	17433
-0.216876	31508	-3.385848	7242	-0.186670	24771	-3.385848	4832
-0.193729	27588	2.610324	136227	-0.193729	19442	2.272070	4867
-0.274323	24513	3.534134	168467	-0.274323	17077	3.520588	103273
-0.194601	10918	-3.013531	107319	-0.194601	7333	-2.922652	75362
-0.326163	24513	-5.389111	28709	-0.326163	17077	-4.932793	25985
-0.230501	8629	-4.810498	7040	-0.230501	5836	-4.810498	4771
-0.244488	7466	-3.770222	4476	-0.166968	10941	-2.882531	35154
-0.205027	180180	-3.160805	174232	-0.193594	2394	-2.916059	103262
0.213065	4512	3.556013	125032	0.213065	3009	3.123674	3864
-0.236152	181904	-5.306966	155136	-0.205265	106051	-3.835624	106051
-0.288384	35518	-3.786578	18849	-0.288384	25149	-3.592567	6069
-0.246525	3500	-3.922625	71652	-0.246525	2464	-3.301805	3191
0.205071	11949	4.000985	12987	0.205071	7892	2.924865	7171
-0.244068	162	-3.810349	181808	-0.244068	158	-3.067725	650
-0.190216	3501	-3.540045	166138	-0.190216	2465	-3.230428	100530
-0.260365	2421	3.598022	149661	-0.260365	1774	-3.356884	1774
0.295284	30490	4.997383	79320	0.295284	21680	3.788884	19983
0.366855	35517	3.652862	122775	0.366855	25148	3.652862	76696
-0.199472	181598	3.518095	79320	0.186156	14963	-2.812348	105158
0.308350	28687	4.788754	13446	0.308350	20178	4.634149	15318
0.215865	3045	3.530453	181572	0.215865	2250	2.805722	103235
-0.213903	27999	-3.445538	13463	-0.213903	19666	-3.445538	8897
0.198969	139328	4.175633	136018	0.185132	91222	3.840022	93060
0.183720	9948	4.444737	171123	0.183720	6644	3.576974	40571
