effectSizes_quest,sig_amy
-0.227253526449203,1
-0.232044920325279,1
-0.237625420093536,1
-0.250964462757111,1
-0.275163412094116,1
-0.285708576440811,1
-0.276530742645264,1
-0.25496107339859,1
-0.250988215208054,1
-0.26359623670578,1
-0.269721895456314,1
-0.277844309806824,1
-0.275634944438934,1
-0.252088457345963,1
-0.235609978437424,1
-0.22934465110302,1
-0.222657740116119,1
-0.223182737827301,1
-0.223518416285515,1
-0.206200256943703,1
-0.159311175346375,1
-0.189492627978325,1
-0.225297287106514,1
-0.241423353552818,1
-0.253484129905701,1
-0.261442422866821,1
-0.274370729923248,1
-0.262045949697495,1
-0.251131623983383,1
-0.222974240779877,1
-0.20822648704052,1
-0.198917329311371,1
-0.201959624886513,1
-0.219735637307167,1
-0.218219071626663,1
-0.215340569615364,1
-0.2171231508255,1
-0.191005900502205,1
-0.21752817928791,1
-0.23043318092823,1
-0.241421610116959,1
-0.254776537418365,1
-0.234986841678619,1
-0.234597608447075,1
-0.228155881166458,1
-0.260276854038239,1
-0.271132439374924,1
-0.271190583705902,1
-0.268036782741547,1
-0.253300368785858,1
-0.232406809926033,1
-0.213398635387421,1
-0.204008147120476,1
-0.205230683088303,1
-0.200993523001671,1
-0.209402114152908,1
-0.211677342653275,1
-0.23497000336647,1
-0.234262675046921,1
-0.239959135651588,1
-0.209282085299492,1
-0.193463712930679,1
-0.178074181079865,1
-0.170907601714134,1
-0.155988022685051,1
-0.166232377290726,1
-0.196929886937141,1
-0.21735605597496,1
-0.26103463768959,1
-0.255285948514938,1
-0.258966207504272,1
-0.236416429281235,1
-0.240442261099815,1
-0.230067119002342,1
-0.228952959179878,1
-0.276330053806305,1
-0.271969616413116,1
-0.257845044136047,1
-0.23455998301506,1
-0.227549165487289,1
-0.212190419435501,1
-0.205970421433449,1
-0.206028178334236,1
-0.202470451593399,1
-0.217771932482719,1
-0.232326909899712,1
-0.234617412090302,1
-0.265170603990555,1
-0.260620921850204,1
-0.263682276010513,1
-0.230452656745911,1
-0.203611999750137,1
-0.176443919539452,1
-0.159635543823242,1
-0.167560011148453,1
-0.183283179998398,1
-0.209343731403351,1
-0.232043117284775,1
-0.260220587253571,1
-0.268376141786575,1
-0.267759054899216,1
-0.245733395218849,1
-0.255943059921265,1
-0.240480229258537,1
-0.233109429478645,1
-0.224080711603165,1
-0.240283995866776,1
-0.234142810106277,1
-0.239794909954071,1
-0.21714024245739,1
-0.261093139648438,1
-0.240889921784401,1
-0.238402187824249,1
-0.246153935790062,1
-0.240541577339172,1
-0.236484736204147,1
-0.235930383205414,1
-0.247576892375946,1
-0.258940756320953,1
-0.269999295473099,1
-0.275488376617432,1
-0.270296901464462,1
-0.274588763713837,1
-0.209402278065681,1
-0.172844544053078,1
-0.142464146018028,1
-0.140805944800377,1
-0.153455913066864,1
-0.184505194425583,1
-0.20084422826767,1
-0.220758602023125,1
-0.24263796210289,1
-0.274594306945801,1
-0.27635845541954,1
-0.26472532749176,1
-0.265764474868774,1
-0.251743972301483,1
-0.243192583322525,1
-0.2339748442173,1
-0.238330587744713,1
-0.223076596856117,1
-0.232672825455666,1
-0.209888204932213,1
-0.285327166318893,1
-0.275155633687973,1
-0.266049832105637,1
-0.268161088228226,1
-0.274710714817047,1
-0.292187631130219,1
-0.300166726112366,1
-0.286118477582932,1
-0.243724167346954,1
-0.186985775828362,1
-0.1551184207201,1
-0.136345073580742,1
-0.109993122518063,1
-0.13168665766716,1
-0.179243922233582,1
-0.207280859351158,1
-0.239208534359932,1
-0.265198260545731,1
-0.305796772241592,1
-0.30610865354538,1
-0.311619639396667,1
-0.313405007123947,1
-0.303923398256302,1
-0.306669235229492,1
-0.294183522462845,1
-0.278633534908295,1
-0.284699529409409,1
-0.29191192984581,1
-0.297649532556534,1
-0.292692244052887,1
-0.264939874410629,1
-0.221962630748749,1
-0.17439666390419,1
-0.137833923101425,1
-0.111874558031559,1
-0.104670904576778,1
-0.12326380610466,1
-0.158120527863503,1
-0.20198680460453,1
-0.231731221079826,1
-0.258674621582031,1
-0.287269920110703,1
-0.296308994293213,1
-0.308498054742813,1
-0.321470022201538,1
-0.308530658483505,1
-0.288477659225464,1
-0.263804525136948,1
-0.25974228978157,1
-0.198296755552292,1
-0.150971800088882,1
-0.111358374357224,1
-0.0961121395230293,1
-0.106619283556938,1
-0.130846261978149,1
-0.151845142245293,1
-0.181580036878586,1
-0.21161063015461,1
-0.229392692446709,1
-0.251123875379562,1
-0.270311772823334,1
-0.283906191587448,1
-0.30426499247551,1
-0.296312719583511,1
-0.286399841308594,1
-0.273163378238678,1
-0.261180460453033,1
-0.292762666940689,1
-0.297185868024826,1
-0.293670684099197,1
-0.278327822685242,1
-0.254423320293427,1
