effectSizes_rating_withBrehl,sig_rating_withBrehl
-0.0875319987535477,0
-0.0820055976510048,0
-0.0828482508659363,0
-0.0794154554605484,0
-0.039005234837532,0
-0.0408906489610672,0
-0.0567171387374401,0
-0.018412996083498,0
-0.0406864583492279,0
-0.0515228286385536,0
-0.0108021451160312,0
-0.00343839591369033,0
-0.0124425468966365,0
-0.0621359758079052,0
-0.0697585791349411,0
-0.0805457383394241,0
-0.0846030339598656,0
-0.0871763527393341,0
-0.0900284796953201,0
-0.0760258734226227,0
-0.0509929433465004,0
0.00380534026771784,0
0.00812818109989166,0
-0.0127834780141711,0
-0.0169976782053709,0
-0.0217447392642498,0
-0.0143331913277507,0
-0.021618714556098,0
-0.0139626748859882,0
-0.107721090316772,0
-0.0912633612751961,0
-0.0861214101314545,0
-0.0854882374405861,0
-0.0717361122369766,0
-0.0473060682415962,0
-0.00727351009845734,0
0.00489406660199165,0
-0.007585393730551,0
-0.000788327655754983,0
-0.00176783499773592,0
0.00814381800591946,0
0.00885116308927536,0
0.00491776037961245,0
0.00119317707139999,0
-0.0956332385540009,0
-0.0783728212118149,0
-0.0718953385949135,0
-0.0762851387262344,0
-0.0717040225863457,0
-0.0554717518389225,0
-0.020754586905241,0
-0.00225682929158211,0
-0.00873997248709202,0
0.006130610127002,0
-0.0351966582238674,0
-0.0432536527514458,0
-0.0780901685357094,0
-0.0815368890762329,0
-0.072159506380558,0
-0.0629415214061737,0
-0.0691506266593933,0
-0.0741050019860268,0
-0.0678142756223679,0
-0.0596431605517864,0
-0.0330303981900215,0
-0.00261026690714061,0
0.00357207865454257,0
0.0164488777518272,0
-0.0604471042752266,0
-0.0527702681720257,0
-0.0561099201440811,0
-0.055322278290987,0
-0.0686716213822365,0
-0.0625394806265831,0
-0.0515393316745758,0
-0.0420152433216572,0
-0.0733101367950439,0
-0.0670528411865234,0
-0.0507871545851231,0
-0.0494119934737682,0
-0.0505583062767982,0
-0.0528853200376034,0
-0.0450102463364601,0
-0.0354350581765175,0
-0.031825952231884,0
-0.0752248764038086,0
-0.0844861641526222,0
-0.026453098282218,0
-0.0174981746822596,0
-0.0152041101828218,0
-0.0628910064697266,0
-0.0704115256667137,0
-0.0587770156562328,0
-0.0405858047306538,0
-0.031956247985363,0
-0.0305723994970322,0
-0.0381247289478779,0
-0.0416651591658592,0
-0.0381161086261272,0
-0.0421383716166019,0
-0.0422886274755001,0
-0.0585643760859966,0
-0.0595577172935009,0
-0.0740306302905083,0
-0.0730573087930679,0
-0.083889052271843,0
-0.0755887106060982,0
-0.072241872549057,0
-0.0530600845813751,0
