study,sampleSize,networkOne,networkTwo
AHAB_ERQcapabilities_unthresholded_resliced.nii,163,0.8057389,0.2966421
MinUnpublished_quest_ERQ-SE_resliced.nii,105,-0.09157383,-1.073249
PIP_ERQcapabilities_unthresholded_resliced.nii,176,-0.6418713,-0.5088181
